TicketID,CustomerID,ProductID,Category,Severity,Channel,State,CreatedAt,ResolvedAt,SLAMet,ShortDescription,ResolutionNote
TIC00001,CUST0024,C412,Audio/Video,Critical,Email,Closed,2023-10-17T00:31:39,2023-10-17T05:31:39,True,Audio distortion at higher volume levels.,Firmware updated; stability improved.
TIC00002,CUST0020,C333,Audio/Video,Medium,Chat,Resolved,2024-07-07T06:29:27,2024-07-07T15:29:27,True,Audio distortion at higher volume levels.,Escalated to engineering; patch shipped in v1.0.4.
TIC00003,CUST0103,C328,App Integration,High,Chat,Open,2024-05-13T14:57:22,,False,Mobile app cannot discover the device.,
TIC00004,CUST0056,C346,Warranty,Critical,Web,Resolved,2024-03-28T21:27:39,2024-03-29T02:27:39,True,Customer requests warranty verification for repair.,Provided step‑by‑step setup and reset instructions.
TIC00005,CUST0111,C398,Performance,Low,Chat,Resolved,2023-02-02T03:17:50,2023-02-02T23:17:50,True,UI lag observed while switching modes.,Provided billing credit and closed ticket.
TIC00006,CUST0165,C375,Audio/Video,Critical,Email,Open,2024-01-25T01:45:14,,False,Audio distortion at higher volume levels.,
TIC00007,CUST0144,C376,Performance,High,Chat,Resolved,2023-10-31T01:17:36,2023-10-31T11:17:36,True,UI lag observed while switching modes.,Escalated to engineering; patch shipped in v1.0.4.
TIC00008,CUST0091,C330,Connectivity,High,Chat,Resolved,2024-11-21T01:26:11,2024-11-22T00:26:11,True,Device fails to connect to Wi‑Fi network intermittently.,Replaced defective adapter under warranty.
TIC00009,CUST0120,C358,Audio/Video,Medium,Web,Resolved,2024-12-23T02:41:27,2024-12-27T03:41:27,False,Audio distortion at higher volume levels.,Replaced unit; RMA processed.
TIC00010,CUST0146,C396,Audio/Video,Low,Email,Closed,2023-08-01T18:02:19,2023-08-03T16:02:19,True,Audio distortion at higher volume levels.,Issue not reproducible; monitored for 7 days.
TIC00011,CUST0050,C364,Connectivity,High,Phone,Resolved,2024-09-08T02:46:40,2024-09-09T14:46:40,False,Device fails to connect to Wi‑Fi network intermittently.,Replaced unit; RMA processed.
TIC00012,CUST0057,C308,App Integration,Medium,Web,Open,2025-07-16T11:16:22,,False,Mobile app cannot discover the device.,
TIC00013,CUST0104,C412,Power,High,Chat,Open,2024-06-09T22:00:18,,False,Unit shuts down unexpectedly after 10 minutes.,
TIC00014,CUST0043,C339,App Integration,High,Phone,Open,2025-05-26T19:16:20,,False,Mobile app cannot discover the device.,
TIC00015,CUST0021,C325,Performance,Low,Chat,Resolved,2023-03-25T04:36:25,2023-03-28T19:36:25,False,UI lag observed while switching modes.,Replaced unit; RMA processed.
TIC00016,CUST0161,C354,Connectivity,Low,Email,Resolved,2025-09-09T20:23:10,2025-09-11T17:23:10,True,Device fails to connect to Wi‑Fi network intermittently.,Escalated to engineering; patch shipped in v1.0.4.
TIC00017,CUST0116,C403,Setup,Low,Web,Resolved,2025-02-23T03:21:47,2025-02-26T14:21:47,False,Initial pairing fails during onboarding.,Issue not reproducible; monitored for 7 days.
TIC00018,CUST0190,C417,Connectivity,Critical,Retail Kiosk,Resolved,2025-09-10T15:50:11,2025-09-10T17:50:11,True,Device fails to connect to Wi‑Fi network intermittently.,Provided billing credit and closed ticket.
TIC00019,CUST0136,C319,Performance,Medium,Phone,Closed,2025-08-26T12:40:22,2025-08-27T14:40:22,True,UI lag observed while switching modes.,Provided billing credit and closed ticket.
TIC00020,CUST0133,C416,Audio/Video,Medium,Retail Kiosk,Resolved,2023-07-09T01:17:23,2023-07-09T08:17:23,True,Audio distortion at higher volume levels.,Provided billing credit and closed ticket.
TIC00021,CUST0142,C303,Setup,Low,Chat,Escalated,2024-06-23T21:44:14,,False,Initial pairing fails during onboarding.,
TIC00022,CUST0207,C306,Audio/Video,Medium,Email,Resolved,2023-05-12T05:25:16,2023-05-13T14:25:16,True,Audio distortion at higher volume levels.,Provided step‑by‑step setup and reset instructions.
TIC00023,CUST0167,C375,Warranty,Medium,Web,Closed,2024-04-01T02:10:52,2024-04-03T09:10:52,False,Customer requests warranty verification for repair.,Provided billing credit and closed ticket.
TIC00024,CUST0079,C332,Setup,Medium,Chat,Resolved,2024-12-06T11:37:02,2024-12-08T10:37:02,True,Initial pairing fails during onboarding.,Guided customer to change router settings (WPA2).
TIC00025,CUST0084,C328,Warranty,Low,Web,Open,2024-12-16T22:58:46,,True,Customer requests warranty verification for repair.,
TIC00026,CUST0014,C303,Power,Low,Chat,Escalated,2024-01-12T07:54:01,,False,Unit shuts down unexpectedly after 10 minutes.,
TIC00027,CUST0114,C330,Warranty,Low,Retail Kiosk,Resolved,2023-01-19T10:50:57,2023-01-19T23:50:57,True,Customer requests warranty verification for repair.,Guided customer to change router settings (WPA2).
TIC00028,CUST0173,C313,Performance,High,Email,Resolved,2025-02-02T08:59:38,2025-02-03T19:59:38,False,UI lag observed while switching modes.,Firmware updated; stability improved.
TIC00029,CUST0093,C401,Audio/Video,Medium,Web,Closed,2023-09-04T07:47:39,2023-09-07T00:47:39,False,Audio distortion at higher volume levels.,Replaced unit; RMA processed.
TIC00030,CUST0075,C416,Power,High,Chat,Escalated,2024-11-14T08:33:16,,False,Unit shuts down unexpectedly after 10 minutes.,
TIC00031,CUST0031,C402,Power,Medium,Email,Resolved,2023-08-29T00:58:59,2023-08-29T22:58:59,True,Unit shuts down unexpectedly after 10 minutes.,Provided billing credit and closed ticket.
TIC00032,CUST0107,C316,Connectivity,High,Phone,Escalated,2025-03-15T07:48:46,,False,Device fails to connect to Wi‑Fi network intermittently.,
TIC00033,CUST0204,C324,App Integration,Medium,Phone,Resolved,2024-02-22T09:12:54,2024-02-24T01:12:54,True,Mobile app cannot discover the device.,Replaced defective adapter under warranty.
TIC00034,CUST0117,C389,Power,Medium,Email,Resolved,2023-01-07T17:12:11,2023-01-08T09:12:11,True,Unit shuts down unexpectedly after 10 minutes.,Provided step‑by‑step setup and reset instructions.
TIC00035,CUST0071,C403,Warranty,Low,Chat,Resolved,2024-10-11T04:49:08,2024-10-12T22:49:08,True,Customer requests warranty verification for repair.,Issue not reproducible; monitored for 7 days.
TIC00036,CUST0046,C351,Performance,Low,Web,Resolved,2024-12-12T07:50:20,2024-12-13T11:50:20,True,UI lag observed while switching modes.,Replaced unit; RMA processed.
TIC00037,CUST0043,C369,Performance,High,Phone,Resolved,2025-10-03T22:41:30,2025-10-04T10:41:30,True,UI lag observed while switching modes.,Issue not reproducible; monitored for 7 days.
TIC00038,CUST0182,C357,Performance,Low,Email,Closed,2024-04-11T01:39:30,2024-04-12T14:39:30,True,UI lag observed while switching modes.,Escalated to engineering; patch shipped in v1.0.4.
TIC00039,CUST0198,C348,App Integration,Low,Retail Kiosk,Closed,2023-05-17T14:15:28,2023-05-19T06:15:28,True,Mobile app cannot discover the device.,Escalated to engineering; patch shipped in v1.0.4.
TIC00040,CUST0008,C370,Performance,Medium,Phone,Resolved,2024-05-21T03:24:36,2024-05-22T19:24:36,True,UI lag observed while switching modes.,Firmware updated; stability improved.
TIC00041,CUST0199,C373,Audio/Video,Medium,Phone,Open,2024-02-03T12:49:40,,False,Audio distortion at higher volume levels.,
TIC00042,CUST0110,C343,App Integration,Medium,Web,Resolved,2025-03-14T19:51:24,2025-03-16T09:51:24,True,Mobile app cannot discover the device.,Firmware updated; stability improved.
TIC00043,CUST0016,C413,Setup,Medium,Email,Resolved,2025-07-12T20:47:16,2025-07-14T07:47:16,True,Initial pairing fails during onboarding.,Escalated to engineering; patch shipped in v1.0.4.
TIC00044,CUST0074,C375,Power,Medium,Chat,Open,2023-06-03T17:43:48,,True,Unit shuts down unexpectedly after 10 minutes.,
TIC00045,CUST0016,C369,Billing,Medium,Web,Closed,2023-10-20T09:08:01,2023-10-21T07:08:01,True,Discrepancy in invoice total for accessory bundle.,Guided customer to change router settings (WPA2).
TIC00046,CUST0098,C362,Setup,Low,Web,Resolved,2025-04-03T13:00:26,2025-04-04T17:00:26,True,Initial pairing fails during onboarding.,Replaced defective adapter under warranty.
TIC00047,CUST0092,C334,Audio/Video,Low,Phone,Closed,2024-04-27T13:07:32,2024-04-28T21:07:32,True,Audio distortion at higher volume levels.,Replaced unit; RMA processed.
TIC00048,CUST0094,C374,Connectivity,Low,Chat,Resolved,2025-09-07T09:09:37,2025-09-09T09:09:37,True,Device fails to connect to Wi‑Fi network intermittently.,Escalated to engineering; patch shipped in v1.0.4.
TIC00049,CUST0117,C339,Performance,Medium,Chat,Resolved,2024-10-02T10:09:08,2024-10-03T10:09:08,True,UI lag observed while switching modes.,Firmware updated; stability improved.
TIC00050,CUST0167,C404,Connectivity,Low,Chat,Closed,2024-10-01T02:45:39,2024-10-04T19:45:39,False,Device fails to connect to Wi‑Fi network intermittently.,Provided billing credit and closed ticket.
TIC00051,CUST0068,C417,Warranty,Medium,Chat,Resolved,2024-09-09T14:20:18,2024-09-10T14:20:18,True,Customer requests warranty verification for repair.,Issue not reproducible; monitored for 7 days.
TIC00052,CUST0130,C355,Audio/Video,High,Phone,Resolved,2025-05-09T10:38:45,2025-05-10T00:38:45,True,Audio distortion at higher volume levels.,Provided step‑by‑step setup and reset instructions.
TIC00053,CUST0058,C311,Performance,Medium,Email,Resolved,2025-06-11T09:42:32,2025-06-12T14:42:32,True,UI lag observed while switching modes.,Replaced defective adapter under warranty.
TIC00054,CUST0211,C393,Connectivity,Low,Chat,Open,2023-02-15T02:28:18,,False,Device fails to connect to Wi‑Fi network intermittently.,
TIC00055,CUST0008,C411,Setup,Medium,Chat,Resolved,2023-04-07T11:49:24,2023-04-08T12:49:24,True,Initial pairing fails during onboarding.,Escalated to engineering; patch shipped in v1.0.4.
TIC00056,CUST0091,C385,Performance,Low,Chat,Open,2024-07-03T16:17:25,,True,UI lag observed while switching modes.,
TIC00057,CUST0167,C319,Performance,Medium,Email,Resolved,2024-06-25T23:41:43,2024-06-27T01:41:43,True,UI lag observed while switching modes.,Replaced unit; RMA processed.
TIC00058,CUST0044,C409,App Integration,Low,Email,Resolved,2025-06-24T03:13:05,2025-06-27T14:13:05,False,Mobile app cannot discover the device.,Escalated to engineering; patch shipped in v1.0.4.
TIC00059,CUST0161,C367,Connectivity,Medium,Email,Resolved,2023-03-10T07:38:49,2023-03-11T17:38:49,True,Device fails to connect to Wi‑Fi network intermittently.,Issue not reproducible; monitored for 7 days.
TIC00060,CUST0109,C411,Power,Low,Phone,Escalated,2024-04-16T17:52:56,,True,Unit shuts down unexpectedly after 10 minutes.,
TIC00061,CUST0006,C344,Setup,Medium,Chat,Resolved,2024-01-13T09:00:24,2024-01-15T07:00:24,True,Initial pairing fails during onboarding.,Replaced unit; RMA processed.
TIC00062,CUST0043,C301,Connectivity,High,Email,Resolved,2025-01-22T11:21:09,2025-01-23T05:21:09,True,Device fails to connect to Wi‑Fi network intermittently.,Replaced unit; RMA processed.
TIC00063,CUST0044,C317,Connectivity,High,Web,Resolved,2023-10-17T19:11:30,2023-10-18T03:11:30,True,Device fails to connect to Wi‑Fi network intermittently.,Guided customer to change router settings (WPA2).
TIC00064,CUST0013,C408,Warranty,Low,Chat,Escalated,2025-04-09T03:39:37,,False,Customer requests warranty verification for repair.,
TIC00065,CUST0008,C392,Audio/Video,Low,Web,Resolved,2024-06-29T15:27:28,2024-07-04T13:27:28,False,Audio distortion at higher volume levels.,Replaced unit; RMA processed.
TIC00066,CUST0042,C333,Performance,Low,Phone,Resolved,2023-02-24T05:45:23,2023-02-26T14:45:23,True,UI lag observed while switching modes.,Provided step‑by‑step setup and reset instructions.
TIC00067,CUST0051,C351,Performance,Medium,Chat,Closed,2023-05-24T21:32:43,2023-05-25T21:32:43,True,UI lag observed while switching modes.,Issue not reproducible; monitored for 7 days.
TIC00068,CUST0026,C391,Connectivity,Low,Chat,Resolved,2024-01-09T02:43:26,2024-01-09T14:43:26,True,Device fails to connect to Wi‑Fi network intermittently.,Escalated to engineering; patch shipped in v1.0.4.
TIC00069,CUST0210,C398,Billing,Medium,Email,Resolved,2024-04-06T18:25:06,2024-04-07T14:25:06,True,Discrepancy in invoice total for accessory bundle.,Provided step‑by‑step setup and reset instructions.
TIC00070,CUST0121,C328,Audio/Video,Medium,Retail Kiosk,Resolved,2024-02-10T01:49:48,2024-02-11T21:49:48,True,Audio distortion at higher volume levels.,Replaced unit; RMA processed.
TIC00071,CUST0022,C333,Audio/Video,Low,Chat,Closed,2025-08-02T19:28:28,2025-08-04T20:28:28,True,Audio distortion at higher volume levels.,Replaced defective adapter under warranty.
TIC00072,CUST0140,C409,Warranty,Medium,Chat,Resolved,2025-04-22T21:19:37,2025-04-25T02:19:37,False,Customer requests warranty verification for repair.,Provided step‑by‑step setup and reset instructions.
TIC00073,CUST0214,C326,Connectivity,Medium,Chat,Open,2024-04-27T19:03:08,,True,Device fails to connect to Wi‑Fi network intermittently.,
TIC00074,CUST0111,C367,Performance,High,Email,Open,2024-05-13T17:07:58,,False,UI lag observed while switching modes.,
TIC00075,CUST0073,C415,Setup,Low,Chat,Resolved,2025-02-16T06:58:47,2025-02-18T01:58:47,True,Initial pairing fails during onboarding.,Provided billing credit and closed ticket.
TIC00076,CUST0149,C416,App Integration,Low,Web,Open,2023-07-15T22:33:47,,False,Mobile app cannot discover the device.,
TIC00077,CUST0193,C357,Warranty,High,Email,Resolved,2025-09-02T14:50:32,2025-09-03T04:50:32,True,Customer requests warranty verification for repair.,Firmware updated; stability improved.
TIC00078,CUST0187,C355,Setup,Medium,Web,Resolved,2024-07-23T11:09:40,2024-07-24T13:09:40,True,Initial pairing fails during onboarding.,Issue not reproducible; monitored for 7 days.
TIC00079,CUST0189,C329,Billing,Medium,Phone,Resolved,2024-01-21T21:48:21,2024-01-23T13:48:21,True,Discrepancy in invoice total for accessory bundle.,Provided billing credit and closed ticket.
TIC00080,CUST0041,C391,Performance,Medium,Email,Closed,2023-06-29T00:08:58,2023-06-29T22:08:58,True,UI lag observed while switching modes.,Replaced unit; RMA processed.
TIC00081,CUST0019,C321,Setup,Medium,Chat,Resolved,2023-03-04T03:15:12,2023-03-04T22:15:12,True,Initial pairing fails during onboarding.,Firmware updated; stability improved.
TIC00082,CUST0007,C351,Performance,Medium,Email,Open,2025-05-08T00:53:20,,False,UI lag observed while switching modes.,
TIC00083,CUST0150,C337,Performance,Medium,Chat,Resolved,2025-03-20T00:03:44,2025-03-21T00:03:44,True,UI lag observed while switching modes.,Firmware updated; stability improved.
TIC00084,CUST0081,C369,App Integration,High,Web,Resolved,2023-06-23T18:53:41,2023-06-24T03:53:41,True,Mobile app cannot discover the device.,Firmware updated; stability improved.
TIC00085,CUST0090,C315,Setup,Low,Web,Open,2024-01-15T18:01:12,,False,Initial pairing fails during onboarding.,
TIC00086,CUST0016,C306,Power,Medium,Retail Kiosk,Closed,2023-05-14T19:24:51,2023-05-17T09:24:51,False,Unit shuts down unexpectedly after 10 minutes.,Escalated to engineering; patch shipped in v1.0.4.
TIC00087,CUST0188,C381,Audio/Video,Low,Phone,Resolved,2024-03-12T18:37:00,2024-03-13T22:37:00,True,Audio distortion at higher volume levels.,Guided customer to change router settings (WPA2).
TIC00088,CUST0018,C377,Setup,High,Chat,Resolved,2025-02-20T11:59:10,2025-02-20T22:59:10,True,Initial pairing fails during onboarding.,Firmware updated; stability improved.
TIC00089,CUST0008,C369,Power,Medium,Phone,Resolved,2023-11-16T23:04:49,2023-11-17T12:04:49,True,Unit shuts down unexpectedly after 10 minutes.,Escalated to engineering; patch shipped in v1.0.4.
TIC00090,CUST0204,C314,Billing,High,Chat,Resolved,2023-03-09T20:55:41,2023-03-10T13:55:41,True,Discrepancy in invoice total for accessory bundle.,Provided step‑by‑step setup and reset instructions.
TIC00091,CUST0070,C341,Performance,Low,Retail Kiosk,Resolved,2025-09-17T08:20:58,2025-09-18T02:20:58,True,UI lag observed while switching modes.,Guided customer to change router settings (WPA2).
TIC00092,CUST0021,C360,Connectivity,Medium,Email,Closed,2024-10-01T10:58:36,2024-10-02T09:58:36,True,Device fails to connect to Wi‑Fi network intermittently.,Issue not reproducible; monitored for 7 days.
TIC00093,CUST0059,C380,Performance,Low,Chat,Resolved,2025-01-19T23:16:13,2025-01-23T21:16:13,False,UI lag observed while switching modes.,Guided customer to change router settings (WPA2).
TIC00094,CUST0061,C401,Connectivity,Medium,Chat,Resolved,2024-04-10T01:24:25,2024-04-11T00:24:25,True,Device fails to connect to Wi‑Fi network intermittently.,Replaced defective adapter under warranty.
TIC00095,CUST0106,C396,Power,High,Chat,Resolved,2025-05-01T16:37:15,2025-05-01T21:37:15,True,Unit shuts down unexpectedly after 10 minutes.,Issue not reproducible; monitored for 7 days.
TIC00096,CUST0108,C351,App Integration,Low,Web,Resolved,2024-09-22T20:27:43,2024-09-24T07:27:43,True,Mobile app cannot discover the device.,Escalated to engineering; patch shipped in v1.0.4.
TIC00097,CUST0169,C407,Connectivity,Low,Email,Closed,2023-03-09T09:56:54,2023-03-14T16:56:54,False,Device fails to connect to Wi‑Fi network intermittently.,Issue not reproducible; monitored for 7 days.
TIC00098,CUST0149,C306,Connectivity,Medium,Chat,Resolved,2023-06-25T12:30:38,2023-06-26T18:30:38,True,Device fails to connect to Wi‑Fi network intermittently.,Replaced defective adapter under warranty.
TIC00099,CUST0189,C396,Connectivity,Critical,Chat,Resolved,2023-03-12T19:21:08,2023-03-12T22:21:08,True,Device fails to connect to Wi‑Fi network intermittently.,Guided customer to change router settings (WPA2).
TIC00100,CUST0013,C301,Performance,Medium,Retail Kiosk,Resolved,2025-05-25T14:31:18,2025-05-26T17:31:18,True,UI lag observed while switching modes.,Guided customer to change router settings (WPA2).
TIC00101,CUST0042,C377,Power,Low,Web,Closed,2023-01-13T21:31:33,2023-01-15T09:31:33,True,Unit shuts down unexpectedly after 10 minutes.,Provided billing credit and closed ticket.
TIC00102,CUST0070,C372,Performance,Low,Email,Open,2025-10-11T12:19:25,,True,UI lag observed while switching modes.,
TIC00103,CUST0049,C326,Power,Critical,Chat,Open,2024-04-05T07:26:14,,False,Unit shuts down unexpectedly after 10 minutes.,
TIC00104,CUST0203,C373,Connectivity,Medium,Web,Closed,2023-09-19T16:36:45,2023-09-20T02:36:45,True,Device fails to connect to Wi‑Fi network intermittently.,Replaced unit; RMA processed.
TIC00105,CUST0106,C316,Setup,Low,Email,Resolved,2023-10-14T16:15:20,2023-10-17T01:15:20,True,Initial pairing fails during onboarding.,Guided customer to change router settings (WPA2).
TIC00106,CUST0019,C358,Performance,Low,Chat,Closed,2024-01-29T21:01:37,2024-01-31T04:01:37,True,UI lag observed while switching modes.,Replaced unit; RMA processed.
TIC00107,CUST0173,C410,Billing,Medium,Web,Resolved,2023-03-20T12:31:42,2023-03-22T11:31:42,True,Discrepancy in invoice total for accessory bundle.,Provided billing credit and closed ticket.
TIC00108,CUST0199,C354,Audio/Video,Low,Chat,Resolved,2025-07-25T03:29:34,2025-07-26T03:29:34,True,Audio distortion at higher volume levels.,Issue not reproducible; monitored for 7 days.
TIC00109,CUST0075,C322,Billing,Low,Email,Resolved,2025-09-16T03:58:42,2025-09-16T19:58:42,True,Discrepancy in invoice total for accessory bundle.,Escalated to engineering; patch shipped in v1.0.4.
TIC00110,CUST0171,C378,Setup,Low,Phone,Open,2023-12-06T01:53:29,,False,Initial pairing fails during onboarding.,
TIC00111,CUST0162,C343,Performance,Medium,Chat,Resolved,2023-08-11T09:28:16,2023-08-15T02:28:16,False,UI lag observed while switching modes.,Guided customer to change router settings (WPA2).
TIC00112,CUST0130,C391,Power,Medium,Phone,Open,2023-04-08T10:17:10,,True,Unit shuts down unexpectedly after 10 minutes.,
TIC00113,CUST0163,C331,Performance,Medium,Chat,Resolved,2024-08-11T11:32:05,2024-08-13T17:32:05,False,UI lag observed while switching modes.,Escalated to engineering; patch shipped in v1.0.4.
TIC00114,CUST0120,C340,Connectivity,Low,Web,Escalated,2024-12-29T07:32:23,,True,Device fails to connect to Wi‑Fi network intermittently.,
TIC00115,CUST0219,C339,Billing,Medium,Phone,Resolved,2024-09-15T12:02:44,2024-09-16T00:02:44,True,Discrepancy in invoice total for accessory bundle.,Guided customer to change router settings (WPA2).
TIC00116,CUST0142,C409,Setup,Medium,Web,Resolved,2025-08-04T06:42:28,2025-08-05T22:42:28,True,Initial pairing fails during onboarding.,Provided step‑by‑step setup and reset instructions.
TIC00117,CUST0017,C382,Warranty,Medium,Chat,Open,2024-04-09T23:09:18,,True,Customer requests warranty verification for repair.,
TIC00118,CUST0033,C329,Setup,Low,Chat,Closed,2024-11-25T22:13:47,2024-11-28T12:13:47,True,Initial pairing fails during onboarding.,Replaced unit; RMA processed.
TIC00119,CUST0124,C389,Audio/Video,Medium,Web,Resolved,2024-07-13T05:49:05,2024-07-14T02:49:05,True,Audio distortion at higher volume levels.,Provided step‑by‑step setup and reset instructions.
TIC00120,CUST0038,C379,Audio/Video,Low,Phone,Resolved,2023-11-12T01:41:29,2023-11-13T01:41:29,True,Audio distortion at higher volume levels.,Replaced defective adapter under warranty.
TIC00121,CUST0010,C363,Audio/Video,Low,Web,Closed,2023-10-19T08:00:01,2023-10-26T14:00:01,False,Audio distortion at higher volume levels.,Escalated to engineering; patch shipped in v1.0.4.
TIC00122,CUST0180,C324,Audio/Video,Low,Chat,Closed,2025-04-20T18:23:31,2025-04-23T08:23:31,True,Audio distortion at higher volume levels.,Replaced defective adapter under warranty.
TIC00123,CUST0108,C327,Setup,High,Email,Resolved,2024-09-25T20:19:21,2024-09-27T04:19:21,False,Initial pairing fails during onboarding.,Replaced defective adapter under warranty.
TIC00124,CUST0087,C311,Billing,Medium,Email,Open,2025-08-31T09:08:37,,False,Discrepancy in invoice total for accessory bundle.,
TIC00125,CUST0147,C341,Connectivity,Critical,Chat,Open,2025-04-25T12:57:53,,False,Device fails to connect to Wi‑Fi network intermittently.,
TIC00126,CUST0102,C335,Power,Medium,Web,Resolved,2023-08-01T12:21:42,2023-08-03T09:21:42,True,Unit shuts down unexpectedly after 10 minutes.,Firmware updated; stability improved.
TIC00127,CUST0036,C323,Setup,Critical,Web,Resolved,2023-01-24T13:37:11,2023-01-24T19:37:11,True,Initial pairing fails during onboarding.,Provided step‑by‑step setup and reset instructions.
TIC00128,CUST0037,C358,Warranty,Low,Retail Kiosk,Resolved,2024-10-23T17:30:53,2024-10-26T14:30:53,True,Customer requests warranty verification for repair.,Replaced defective adapter under warranty.
